question	answer	keywords
Can I run the dishwasher at a low temperature?	Check the settings. Some dishwashers have options for eco or energy-saving washes, but these might take longer.	Counter({'canirunthedishwasheratalowtemperature': 1})
What's the best way to dry my dishes?	Using rinse aid will help. You can also let the dishwasher finish its cycle and then leave the door slightly open to let air in.	Counter({'whatsthebestwaytodrymydishes': 1})
What if the water isn’t draining?	Make sure the drain is not blocked. Check to see if there are any food particles clogging the filter or drain.	Counter({'whatifthewaterisntdraining': 1})
How do I know when to refill the rinse aid?	There’s usually a window on the rinse aid dispenser. When you can’t see any liquid, it’s time to refill it.	Counter({'howdoiknowwhentorefilltherinseaid': 1})
Is it okay to stack silverware in the basket?	Yes, but it should not touch each other. Place forks, knives, and spoons facing down to prevent them from nesting.	Counter({'isitokaytostacksilverwareinthebasket': 1})
What should I do if my dishes smell bad after washing?	Check for food debris stuck in the filter. Clean the filter and run a rinse cycle with vinegar to freshen it up.	Counter({'whatshouldidoifmydishessmellbadafterwashing': 1})
How do I prevent plastic items from melting?	Place plastic items on the top rack. The heating element is usually at the bottom, so they are safer up high.	Counter({'howdoipreventplasticitemsfrommelting': 1})
What do I do if my dishwasher doesn’t start?	Check if it's plugged in and the door is closed tightly. Make sure the cycle settings are selected correctly.	Counter({'whatdoidoifmydishwasherdoesntstart': 1})
Can I wash pots and pans in the dishwasher?	Yes, but make sure they are dishwasher safe. Place them on the bottom rack for better cleaning.	Counter({'caniwashpotsandpansinthedishwasher': 1})
How can I help my dishwasher work better?	Rinse off large food pieces before loading. Don’t overload it and ensure water can flow freely to all items.	Counter({'howcanihelpmydishwasherworkbetter': 1})
What type of detergent should I use?	Use dishwasher-specific detergent. It's made for cleaning dishes and works better than regular soap.	Counter({'whattypeofdetergentshouldiuse': 1})
What features does the upper level wash have?	The upper level wash has a spray arm that helps clean dishes on the top rack. It also includes cup shelves on some models.	Counter({'whatfeaturesdoestheupperlevelwashhave': 1})
How do I adjust the tines in the dishwasher?	Some dishwashers have EZ Adjust tines that can change position. Look for the adjustment mechanism and move them if needed.	Counter({'howdoiadjustthetinesinthedishwasher': 1})
How do I load the dishwasher?	Start by placing dirty dishes in the dishwasher. Make sure to spin the spray arms to see if they turn freely. This helps them clean properly.	Counter({'howdoiloadthedishwasher': 1})
What should I do after loading my dishwasher?	After loading, add dishwasher detergent and rinse aid to their respective compartments.	Counter({'whatshouldidoafterloadingmydishwasher': 1})
How do I choose a washing cycle?	Select a cycle based on how dirty your dishes are. You might have options like Sensor, Heavy, Normal, 1-Hr Wash, or Soak & Clean.	Counter({'howdoichooseawashingcycle': 1})
What are some options I can choose for washing?	You can choose options like Heat Dry, High Temp, Sani Rinse, or set a 4-Hr Delay, if your model has them.	Counter({'whataresomeoptionsicanchooseforwashing': 1})
How do I start the dishwasher?	Select your cycle and any options you want. Then press START/RESUME if your controls are on the top. After that, close the door firmly.	Counter({'howdoistartthedishwasher': 1})
What if I need to cancel a cycle?	Press the Cancel button to stop the current cycle if needed.	Counter({'whatifineedtocancelacycle': 1})
Can I pause the dishwasher during a cycle?	To pause the wash, simply press the Resume button. This can help you check on your dishes.	Counter({'canipausethedishwasherduringacycle': 1})
How do I know when the cycle is done?	The dishwasher will make a sound or the lights will change when the cycle is finished.	Counter({'howdoiknowwhenthecycleisdone': 1})
What do I do after the cycle ends?	Once the cycle is done, open the door and unload the clean dishes. It's also a good time to clean the filter.	Counter({'whatdoidoafterthecycleends': 1})
Where is the filter located?	The filter is usually found at the bottom of the dishwasher. Check your manual for its exact location.	Counter({'whereisthefilterlocated': 1})
How often should I clean the filter?	Check the “Filtration System” section in your manual for the recommended cleaning schedule for the filter.	Counter({'howoftenshouldicleanthefilter': 1})
What if the dishwasher does not start?	Ensure the door is closed tightly and that you've pressed START/RESUME. Also, check if it's plugged in.	Counter({'whatifthedishwasherdoesnotstart': 1})
What can I do if my dishes are still dirty after a wash?	Make sure you loaded the dishes properly and added enough detergent. You might want to try a heavier cycle next time.	Counter({'whatcanidoifmydishesarestilldirtyafterawash': 1})
Can I run the dishwasher with just a few dishes?	It's fine to run it with a few dishes, but make sure they are loaded properly for the best cleaning results.	Counter({'canirunthedishwasherwithjustafewdishes': 1})
Should I rinse my dishes before putting them in?	You don't need to rinse them completely, but removing large food scraps can help.	Counter({'shouldirinsemydishesbeforeputtingthemin': 1})
How do I add rinse aid?	Find the rinse aid compartment, open it, and pour in the rinse aid until it's full without overflowing.	Counter({'howdoiaddrinseaid': 1})
Why do I need rinse aid?	Rinse aid helps dishes dry better and prevents water spots.	Counter({'whydoineedrinseaid': 1})
What is the Heat Dry option for?	The Heat Dry option helps to dry your dishes faster using heat.	Counter({'whatistheheatdryoptionfor': 1})
What if the spray arms are stuck?	Check for any dishes that might be blocking the spray arms from turning. Adjust them if needed.	Counter({'whatifthesprayarmsarestuck': 1})
How can I ensure my dishwasher smells fresh?	Regularly clean the filter and run a wash cycle with a cup of vinegar in a container placed on the top rack.	Counter({'howcaniensuremydishwashersmellsfresh': 1})
Can I use any detergent in the dishwasher?	It's best to use dishwasher detergent made specifically for dishwashers for the best results.	Counter({'caniuseanydetergentinthedishwasher': 1})
How do I prepare my dishes before loading them into the dishwasher?	Remove leftover food, bones, toothpicks, and any hard items from the dishes. Also, take off labels from containers.	Counter({'howdoipreparemydishesbeforeloadingthemintothedishwasher': 1})
What is important to check before I close the dishwasher door?	Make sure nothing is blocking the spray arm(s) so it can spin freely and that the detergent dispenser is not blocked.	Counter({'whatisimportanttocheckbeforeiclosethedishwasherdoor': 1})
How should I load my dishes into the dishwasher?	Load dishes with soiled surfaces facing down and inward toward the spray. Avoid overlapping items to ensure better cleaning.	Counter({'howshouldiloadmydishesintothedishwasher': 1})
Where should I place plastics, small plates, and glasses?	Place plastics, small plates, and glasses in the upper rack for best results.	Counter({'whereshouldiplaceplasticssmallplatesandglasses': 1})
Can I wash any type of dish in the dishwasher?	Only wash items that are marked 'dishwasher safe.'	Counter({'caniwashanytypeofdishinthedishwasher': 1})
What should I do to stop thumping noises while the dishwasher is running?	Load dishes so they do not touch one another and secure lightweight items in the racks.	Counter({'whatshouldidotostopthumpingnoiseswhilethedishwasherisrunning': 1})
How should I load silverware into the dishwasher?	Always place sharp items pointing down and avoid nesting. Mix silverware types to keep them separated.	Counter({'howshouldiloadsilverwareintothedishwasher': 1})
How do I add detergent to the dishwasher?	Add automatic dishwasher detergent just before starting a cycle. You can use powder, liquid, or tablet detergent.	Counter({'howdoiadddetergenttothedishwasher': 1})
What type of dishwasher detergent should I use?	Use only automatic dishwasher detergent. Tablet detergent is recommended for best results.	Counter({'whattypeofdishwasherdetergentshouldiuse': 1})
What factors affect how much detergent I should use?	The amount of detergent depends on how soiled the dishes are and the hardness of your water.	Counter({'whatfactorsaffecthowmuchdetergentishoulduse': 1})
How do I know if my water is hard or soft?	If your water has 0-6 grains per gallon, it’s hard. If it has 7-12 grains per gallon, it’s soft.	Counter({'howdoiknowifmywaterishardorsoft': 1})
How do I fill the detergent dispenser?	Fill the Main Wash section based on your water hardness. For heavily soiled items, fill the Pre-Wash section to the recommended level.	Counter({'howdoifillthedetergentdispenser': 1})
Do I need to use rinse aid in my dishwasher?	Yes, rinse aid helps with drying and prevents water spots on your dishes.	Counter({'doineedtouserinseaidinmydishwasher': 1})
How do I check the rinse aid level?	Look at the rinse aid indicator. Add rinse aid when it shows 'Add' level.	Counter({'howdoichecktherinseaidlevel': 1})
How do I add rinse aid to the dishwasher?	Turn the dispenser cap ¼ turn counterclockwise, lift it off, and pour rinse aid until the level is 'Full.' Replace and lock the cap.	Counter({'howdoiaddrinseaidtothedishwasher': 1})
What happens if I forget to add rinse aid?	Without rinse aid, your dishes may have spots or streaks, and the drying may not work well.	Counter({'whathappensififorgettoaddrinseaid': 1})
Can I run a rinse cycle without detergent?	Yes, if you do not plan to run a wash cycle soon, run a rinse cycle without detergent.	Counter({'canirunarinsecyclewithoutdetergent': 1})
What should I do if my dishes are still dirty after a cycle?	Check if you used enough detergent and if the dishes were loaded properly, with soiled sides facing down.	Counter({'whatshouldidoifmydishesarestilldirtyafteracycle': 1})
How can I prevent rust on my dishwasher?	Avoid washing metal items that can rust if they are not dishwasher safe. Regularly check and remove any rust if it appears.	Counter({'howcanipreventrustonmydishwasher': 1})
What do I do if the door won't close?	Make sure there are no dishes blocking the door and everything is loaded properly.	Counter({'whatdoidoifthedoorwontclose': 1})
Is it safe to wash glass dishes in the dishwasher?	You can wash glass dishes if they are marked 'dishwasher safe.' Use caution with very delicate glass.	Counter({'isitsafetowashglassdishesinthedishwasher': 1})
How do I check the water hardness level?	You can check the water hardness level using test strips available at home improvement stores. Follow the instructions on the package to see if you have hard water.	Counter({'howdoicheckthewaterhardnesslevel': 1})
Why do I see spots on my dishes after washing?	Spots on dishes are often caused by hard water. Adjust the rinse aid setting or the factory water hardness setting to help reduce spots.	Counter({'whydoiseespotsonmydishesafterwashing': 1})
How do I adjust the rinse aid setting?	Look for the arrow adjuster inside the rinse aid dispenser. Use your fingers or a flat-blade screwdriver to turn the adjuster until it points to the desired level.	Counter({'howdoiadjusttherinseaidsetting': 1})
What cleaning cycles can I choose from?	You can choose from different cycles like Sensor, Heavy, Normal, 1-Hr, Soak, and Clean. Pick one based on how dirty your dishes are.	Counter({'whatcleaningcyclescanichoosefrom': 1})
What options can I add to my cycle?	You can add options like Heat Dry, High Temp, Sani Rinse, and 4-Hr Delay. These options can change how well your dishes come out.	Counter({'whatoptionscaniaddtomycycle': 1})
How do I start the dishwasher?	To start, run hot water at the sink until it’s warm. Turn the water off, select your cycle and options, then press START/RESUME before you close the door.	Counter({'howdoistartthedishwasher': 1})
What temperature should the water be when it enters the dishwasher?	The water should be about 120°F (49°C) when it enters the dishwasher for the best cleaning results.	Counter({'whattemperatureshouldthewaterbewhenitentersthedishwasher': 1})
Can I open the door and add dishes while it's running?	You can add dishes at the beginning of the cycle. Open the door slowly, add the items, close the door firmly, and press START/RESUME.	Counter({'caniopenthedoorandadddisheswhileitsrunning': 1})
What should I do if I want to cancel the cycle?	To cancel a cycle, press the Cancel button. This will stop the washing process.	Counter({'whatshouldidoifiwanttocancelthecycle': 1})
How do I know if the dishwasher is done washing?	The dishwasher will stop running and make a sound or the lights will indicate that the cycle is complete. Check your model for specific signals.	Counter({'howdoiknowifthedishwasherisdonewashing': 1})
What if the dishwasher doesn't start?	If it doesn't start, check if the door is closed completely, ensure you have selected a cycle, and check for any error lights.	Counter({'whatifthedishwasherdoesntstart': 1})
Do I need to clean the filter in the dishwasher?	Yes, it’s a good idea to clean the filter regularly to keep the dishwasher running well. Refer to your manual for instructions on how to remove and clean it.	Counter({'doineedtocleanthefilterinthedishwasher': 1})
How often should I run the dishwasher?	You can run the dishwasher as often as you need. It's best to run it when it’s full for efficiency.	Counter({'howoftenshouldirunthedishwasher': 1})
What if my dishes still come out dirty?	If your dishes are still dirty, check the spray arms for clogs, ensure you’re using enough detergent, and check the water temperature.	Counter({'whatifmydishesstillcomeoutdirty': 1})
How much detergent should I use?	Use the amount recommended on the detergent packaging. It’s usually about one tablespoon for a normal wash.	Counter({'howmuchdetergentshouldiuse': 1})
Is it safe to wash all types of dishes?	Not all dishes are dishwasher safe. Avoid washing wooden items, certain plastics, and anything with metal that may rust.	Counter({'isitsafetowashalltypesofdishes': 1})
What can trigger a need for maintenance?	Signs can include bad smells, leftover food on dishes, leaks, or unusual noises when the dishwasher is running.	Counter({'whatcantriggeraneedformaintenance': 1})
How can I avoid bad smells in my dishwasher?	To prevent bad smells, clean the filter regularly and run a hot water cycle with vinegar or a dishwasher cleaner every month.	Counter({'howcaniavoidbadsmellsinmydishwasher': 1})
Can I wash pots and pans in the dishwasher?	Most pots and pans can be washed, but check the manufacturer's guidelines to see if they're dishwasher safe.	Counter({'caniwashpotsandpansinthedishwasher': 1})
What should I do if the door seems stuck?	If the door is stuck, check for any dishes or items blocking it. If not, ensure the latch is functioning properly.	Counter({'whatshouldidoifthedoorseemsstuck': 1})
How do I make my dishwasher quieter?	To reduce noise, make sure everything is loaded correctly and not touching each other. Regular maintenance can also help keep it quiet.	Counter({'howdoimakemydishwasherquieter': 1})
What does the Sani Rinse option do?	The Sani Rinse option heats the final rinse water to help kill bacteria and ensure your dishes are extra clean.	Counter({'whatdoesthesanirinseoptiondo': 1})
How do I start my dishwasher?	Load your dishes into the dishwasher, then select your desired wash cycle and press the start button to begin.	Counter({'howdoistartmydishwasher': 1})
Can I change the washing cycle after I start it?	You can change the washing cycle if you do it before the selected option begins. Just press a different cycle.	Counter({'canichangethewashingcycleafteristartit': 1})
What if I forgot to add detergent?	If you forgot to add detergent, stop the dishwasher, add it, and then restart the cycle.	Counter({'whatififorgottoadddetergent': 1})
How do I know which wash cycle to choose?	Choose a cycle based on how dirty your dishes are. Use 'Heavy' for very dirty dishes, 'Normal' for everyday use, and '1-Hour Wash' for quickly cleaning lightly soiled items.	Counter({'howdoiknowwhichwashcycletochoose': 1})
Why does my dishwasher make noises?	Some noises are normal as the dishwasher washes, pauses, and sprays water. This helps clean your dishes better.	Counter({'whydoesmydishwashermakenoises': 1})
What does the 'High Temp' option do?	'High Temp' raises the wash water temperature to help clean tough stains better.	Counter({'whatdoesthehightempoptiondo': 1})
How long does a normal wash cycle take?	A normal wash cycle takes about 2 hours and 32 minutes.	Counter({'howlongdoesanormalwashcycletake': 1})
Can I stop the dishwasher while it's running?	You can stop the dishwasher, but you should wait for it to pause completely before opening the door.	Counter({'canistopthedishwasherwhileitsrunning': 1})
What should I do if the door won't close?	Make sure there are no dishes blocking the door and that the latch is properly aligned. Try closing it again.	Counter({'whatshouldidoifthedoorwontclose': 1})
How do I know when a cycle is done?	The dishwasher will beep or light indicators will show when the wash cycle is complete.	Counter({'howdoiknowwhenacycleisdone': 1})
What is the 'Sani Rinse' option?	'Sani Rinse' raises the temperature of the final rinse water to kill more germs.	Counter({'whatisthesanirinseoption': 1})
Will the dishwasher adjust the wash time?	Yes, the dishwasher can adjust the wash time based on how dirty the dishes are and the incoming water temperature.	Counter({'willthedishwasheradjustthewashtime': 1})
How much water does the dishwasher use?	Water usage varies by cycle type. It can be between 2.4 to 7.4 gallons of water per cycle.	Counter({'howmuchwaterdoesthedishwasheruse': 1})
Can I wash plastic dishes in the dishwasher?	Yes, but make sure they are labeled as dishwasher safe to avoid damage.	Counter({'caniwashplasticdishesinthedishwasher': 1})
What is the best way to load dishes?	Load larger items on the bottom rack and smaller items on the top rack. Make sure nothing blocks the spray arms.	Counter({'whatisthebestwaytoloaddishes': 1})
How do I clean the dishwasher filter?	Remove the filter and rinse it under warm water. Scrub gently if needed and replace it after it dries.	Counter({'howdoicleanthedishwasherfilter': 1})
What should I do if my dishwasher smells bad?	Check for food debris in the filter and the bottom of the dishwasher. Clean it out to reduce odors.	Counter({'whatshouldidoifmydishwashersmellsbad': 1})
Can I use regular dish soap in the dishwasher?	No, use only dishwasher detergent made for dishwashers to prevent too many suds.	Counter({'caniuseregulardishsoapinthedishwasher': 1})
How often should I run the dishwasher?	Run the dishwasher whenever you have a full load of dirty dishes to save water and energy.	Counter({'howoftenshouldirunthedishwasher': 1})
What if there are spots on my glasses after washing?	Spots may happen if hard water is present. Consider using a rinse aid to help reduce spots.	Counter({'whatiftherearespotsonmyglassesafterwashing': 1})
Is it safe to leave the dishwasher running unattended?	Yes, it is generally safe, but make sure the dishwasher is not damaged or leaking before leaving.	Counter({'isitsafetoleavethedishwasherrunningunattended': 1})
How can I make my dishwasher last longer?	Regularly clean the filter, check for clogs, and use your dishwasher according to the manual to keep it in good shape.	Counter({'howcanimakemydishwasherlastlonger': 1})
How do I start the dishwasher?	Press the Start/Resume button to begin the wash cycle after selecting your desired options.	Counter({'howdoistartthedishwasher': 1})
What should I do if I opened the door during the wash cycle?	Close the door, then press the Start/Resume button again to continue the cycle.	Counter({'whatshouldidoifiopenedthedoorduringthewashcycle': 1})
How can I cancel a wash cycle?	Press the Cancel Drain button, then make sure the door is closed. The dishwasher will drain for 2 minutes to cancel the cycle.	Counter({'howcanicancelawashcycle': 1})
What does the Clean light mean?	The Clean light stays on when the wash cycle has finished successfully.	Counter({'whatdoesthecleanlightmean': 1})
How does the Heat Dry option work?	The Heat Dry option uses a heating element to help dry your dishes faster during the wash cycle.	Counter({'howdoestheheatdryoptionwork': 1})
Can I set a delay for starting the dishwasher?	Yes, press the 4-Hr Delay button to set a 4-hour delay before the wash cycle starts.	Counter({'canisetadelayforstartingthedishwasher': 1})
What happens if I don’t press Start/Resume after opening the door?	The cycle will not continue until you close the door and press the Start/Resume button.	Counter({'whathappensifidontpressstartresumeafteropeningthedoor': 1})
How do I activate the Control Lock feature?	Press and hold the 4-Hr Delay button for 3 seconds to activate the Control Lock and disable all buttons.	Counter({'howdoiactivatethecontrollockfeature': 1})
How do I turn off the Control Lock?	Press and hold the 4-Hr Delay button for 3 seconds again to turn off the Control Lock.	Counter({'howdoiturnoffthecontrollock': 1})
What if I need to add a dish during the wash cycle?	Open the door to add a dish, then close it. You will need to press the Start/Resume button to continue the cycle.	Counter({'whatifineedtoaddadishduringthewashcycle': 1})
How can I tell if my dishes are sanitized?	The Sanitized indicator light will glow when the dishes have been sanitized properly.	Counter({'howcanitellifmydishesaresanitized': 1})
What does the Cancel function do?	The Cancel function stops the current wash cycle and starts the draining process.	Counter({'whatdoesthecancelfunctiondo': 1})
Can I use Heat Dry with any wash cycle?	The Heat Dry option can be used with most cycles, except for the 1-Hour Wash.	Counter({'caniuseheatdrywithanywashcycle': 1})
What should I do if the dishwasher won't start?	Check if you have closed the door properly, and make sure to press the Start/Resume button after that.	Counter({'whatshouldidoifthedishwasherwontstart': 1})
How do I know if the wash cycle is still running?	The Start/Resume button LED will be lit when the cycle is in progress.	Counter({'howdoiknowifthewashcycleisstillrunning': 1})
Is there a certain amount of time for the Heat Dry option?	Heat Dry can add between 8 to 46 minutes to the wash cycle, depending on the cycle selected.	Counter({'isthereacertainamountoftimefortheheatdryoption': 1})
What if the Control Lock is activated and I need to use the dishwasher?	You will need to hold the 4-Hr Delay button for 3 seconds to deactivate the Control Lock.	Counter({'whatifthecontrollockisactivatedandineedtousethedishwasher': 1})
How do I reset the delay time?	Press the Delay button until the desired delay time is displayed to reset it.	Counter({'howdoiresetthedelaytime': 1})
Can I delay the wash cycle for less than 4 hours?	You cannot set a delay shorter than 4 hours with the 4-Hr Delay option.	Counter({'canidelaythewashcycleforlessthan4hours': 1})
What do I do if the Clean indicator doesn't turn on after a cycle?	Check to make sure the cycle was completed, and the door was closed properly during the wash.	Counter({'whatdoidoifthecleanindicatordoesntturnonafteracycle': 1})
What if my dishes are still dirty after a wash?	Make sure to load the dishwasher properly and use the appropriate wash cycle for your load.	Counter({'whatifmydishesarestilldirtyafterawash': 1})
How should I care for the inside of the dishwasher?	Regularly wipe down the interior with a damp cloth and avoid using harsh chemicals.	Counter({'howshouldicarefortheinsideofthedishwasher': 1})
How can I clean the filter in the dishwasher?	Check your manual for the location of the filter, then remove it and rinse it under running water to clean.	Counter({'howcanicleanthefilterinthedishwasher': 1})
How do I set up my dishwasher?	Place your dishwasher on a flat, even surface near a water supply. Connect the water hose and plug in the power cord. Make sure the dishwasher is leveled.	Counter({'howdoisetupmydishwasher': 1})
How do I load the silverware basket?	You can load the silverware basket by placing forks, knives, and spoons inside it. Ensure the front panel is locked before using the bottom rack.	Counter({'howdoiloadthesilverwarebasket': 1})
How do I unlock the silverware basket?	To unlock, grasp the front panel, pull it up, and turn it 90 degrees. Make sure it’s fully in place before pulling the bottom rack out.	Counter({'howdoiunlockthesilverwarebasket': 1})
How can I remove the silverware basket from the door?	To remove it, grasp the basket by the handle, slide it toward the top of the door, and lift it off the holding buttons.	Counter({'howcaniremovethesilverwarebasketfromthedoor': 1})
How do I put the silverware basket back in the door?	Set the silverware basket on the holding buttons and slide it toward the bottom of the door until it clicks into place.	Counter({'howdoiputthesilverwarebasketbackinthedoor': 1})
What are the cup shelves for?	Cup shelves can hold extra cups, stemware, or long items like spatulas. You can fold them down to create more space in the top rack.	Counter({'whatarethecupshelvesfor': 1})
How do I adjust the fold-down tines?	To adjust the tines, grasp the tip of the tine and push it out of the holder. Then, lay the tines down toward the center of the rack.	Counter({'howdoiadjustthefolddowntines': 1})
What are light item clips used for?	Light item clips hold lightweight plastic items in place, like cups and bowls, during washing to prevent them from moving around.	Counter({'whatarelightitemclipsusedfor': 1})
How do I move a light item clip?	To move a clip, pull it up off the tine and reposition it on another tine where you need it.	Counter({'howdoimovealightitemclip': 1})
What are EZ Adjust Tines?	EZ Adjust Tines are sliding tines on the lower rack that can move left or right. They help fit larger dishes, like cereal bowls.	Counter({'whatareezadjusttines': 1})
How does the silverware spray work?	The silverware spray provides a strong shower of water to the in-door basket, helping to clean stuck-on food without needing to rewash.	Counter({'howdoesthesilverwarespraywork': 1})
How do I turn on the dishwasher?	To turn on the dishwasher, close the door securely. Then, select your wash cycle and press the start button.	Counter({'howdoiturnonthedishwasher': 1})
Should I rinse my dishes before putting them in the dishwasher?	Rinsing is not necessary but scraping off large food particles helps ensure better washing.	Counter({'shouldirinsemydishesbeforeputtingtheminthedishwasher': 1})
What's the best way to load the bottom rack?	Load larger items like pots and pans in the bottom rack. Place them facing down for the best cleaning.	Counter({'whatsthebestwaytoloadthebottomrack': 1})
Can I wash plastic dishes in the dishwasher?	Yes, you can wash plastic dishes, but place them on the top rack to avoid melting.	Counter({'caniwashplasticdishesinthedishwasher': 1})
